Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
jp-halloween-man-rockon-urban-set-125ml,Jp Halloween Man Rockon Urban Set 125ml,<p><p><strong>Jp Halloween Man Rockon Urban Set 125ml.</strong></p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Title,Default Title,,,ASPER-1769145122738-23476,100,shopify,100,deny,manual,49.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/JPHALLOWEENMANROCKONURBANSET125ML.jpg?v=1686002290,1,Jp Halloween Man Rockon Urban Set 125ml,Jp Halloween Man Rockon Urban Set 125ml,Jp Halloween Man Rockon Urban Set 125ml.,active
moschino-toy-2-edp-100ml-edp-10ml-body-lotion-100ml-gift-set-for-women,Moschino Toy 2 Edp 100ml + Edp 10ml + Body Lotion 100ml Gift Set For Women,"<p><p><strong>Moschino Toy 2 Edp 100ml + Edp 10ml + Body Lotion 100ml Gift Set For Women </strong>t<span data-mce-fragment=""1"">op notes: Mandarin, Apple, Magnolia. Heart notes: Peony, Jasmine, White currant. Base notes: Musk, Sandalwood, Amber wood.</span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Body Care,"Asper Beauty, Body Care",TRUE,Title,Default Title,,,8011003873722,100,shopify,100,deny,manual,73.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MoschinoToy2Edp100ml_3e96742b-332d-47d1-96a7-54c4d25d189c.jpg?v=1704789356,1,Moschino Toy 2 Edp 100ml + Edp 10ml + Body Lotion 100ml Gift Set For Women,Moschino Toy 2 Edp 100ml + Edp 10ml + Body Lotion 100ml Gift Set For W,"Moschino Toy 2 Edp 100ml + Edp 10ml + Body Lotion 100ml Gift Set For Women t op notes: Mandarin, Apple, Magnolia. Heart notes: Peony, Jasmine, White currant. Base notes: Musk, Sandalwood, Amber wood.",active
hallw-man-edt-vapo-125ml,Hallw Man Edt Vapo 125ml,<p><p><strong>Hallw Man Edt Vapo 125ml.</strong></p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Title,Default Title,,,8431754462516,100,shopify,100,deny,manual,59.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/HALLWMANEDTVAPO125ML.jpg?v=1686000430,1,Hallw Man Edt Vapo 125ml,Hallw Man Edt Vapo 125ml,Hallw Man Edt Vapo 125ml.,active
halloween-tatto-edt,Halloween Tatto Edt,"<p><p><strong>Halloween Tatto Edt</strong> <span data-mce-fragment=""1"">has really interesting composition. It opens with enchanting notes of Pina colada, pear, and fresh tangerine and red pepper. This fruity mixture is followed by the beautiful floral heart which includes notes of black rose, gardenia, sensual jasmine and seas salt. The base is enticing with the luxurious woody notes of cedar, sandalwood, Tonka bean and musk. This incredible perfume has an incredible flacon as well. It is matte black and has beautiful white drawings of roses and butterflies which make it look mysterious, yet really beautiful. Top notes: Pina colada, pear, tangerine, pink pepper; Heart notes: black rose, gardenia, jasmine, sea salt; Base notes: cedar, sandalwood, musk, Tonka bean.</span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Size,100ML,,,8431754002873,100,shopify,100,deny,manual,41.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/HALLOWEENTATTOEDT.jpg?v=1686000074,1,Halloween Tatto Edt,Halloween Tatto Edt,"Halloween Tatto Edt has really interesting composition. It opens with enchanting notes of Pina colada, pear, and fresh tangerine and red pepper. This fruity mixture is followed by the beautiful floral heart which includes notes of black rose, gardenia, sensual jasmine and seas salt. The base is enticing with the luxuri",active
halloween-lmuniq-edt-vapo,Halloween L'muniq Edt Vapo,<p><p><strong>Halloween L'muniq Edt Vapo.</strong></p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Size,100ML,,,8431754006741,100,shopify,100,deny,manual,49.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/HALLOWEENL_MUNIQEDTVAPO.jpg?v=1685984616,1,Halloween L'muniq Edt Vapo,Halloween L'muniq Edt Vapo,Halloween L'muniq Edt Vapo.,active
mont-blanc-legend-red-edp-50ml-gift-set,Mont Blanc Legend Red Edp 50ml Gift Set,"<p><p><strong>Mont Blanc Legend Red Edp 50ml Gift Set</strong> f<span data-mce-fragment=""1"">or Gentlemen Fragrance: Woody Includes: Mont Blanc Legend Red Gift Set - 50 ml eau de perfume spray + 100 ml shower gel - gift set for men Looking for the perfect gift for him can sometimes seem like a daunting task, but having an entire collection of body care products and fragrances just a click away can make things so much easier. Choosing your gift will be child's play! </span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Set,"Asper Beauty, Set",TRUE,Title,Default Title,,,ASPER-1769145122739-23481,100,shopify,100,deny,manual,59.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MONTBLANCLEGENDREDEDP50MLGIFTSET.jpg?v=1686770720,1,Mont Blanc Legend Red Edp 50ml Gift Set,Mont Blanc Legend Red Edp 50ml Gift Set,"Mont Blanc Legend Red Edp 50ml Gift Set f or Gentlemen Fragrance: Woody Includes: Mont Blanc Legend Red Gift Set - 50 ml eau de perfume spray + 100 ml shower gel - gift set for men Looking for the perfect gift for him can sometimes seem like a daunting task, but having an entire collection of body care products and fra",active
montblanc-explorer-ultra-blue-edp-60ml-gift-set,Montblanc Explorer Ultra Blue Edp 60ml Gift Set,"<p><p><strong>Montblanc Explorer Ultra Blue Edp 60ml Gift Set</strong> e<span data-mce-fragment=""1"">nhanced by a touch of adventure and freedom, this fragrance radiates a refined, imposing and charismatic masculinity while evoking a trip around the world. Content: Set Explorer Ultra Blue Eau de Perfume 60 ml + Shower Gel 100 ml.</span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Set,"Asper Beauty, Set",TRUE,Title,Default Title,,,ASPER-1769145122739-23482,100,shopify,100,deny,manual,56.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MONTBLANCEXPLORERULTRABLUEEDP60MLGIFTSET.jpg?v=1686769836,1,Montblanc Explorer Ultra Blue Edp 60ml Gift Set,Montblanc Explorer Ultra Blue Edp 60ml Gift Set,"Montblanc Explorer Ultra Blue Edp 60ml Gift Set e nhanced by a touch of adventure and freedom, this fragrance radiates a refined, imposing and charismatic masculinity while evoking a trip around the world. Content: Set Explorer Ultra Blue Eau de Perfume 60 ml + Shower Gel 100 ml.",active
real-techniques-mini-multitask,Real Techniques Mini Multitask,"<p><p><strong>Real Techniques Mini Multitask</strong> <span data-mce-fragment=""1"">a fluffy, travel-size brush that serves your every makeup need, while you’re out and about. Fitted with Ultra Plush synthetic bristles. Multitask it’s perfect for applying and blending powder blushers, bronzers, setting powders, finishing powders, highlighters and contouring products, leaving you with flawless results. The frost-tipped bristles are engineered to pick up and disperse the perfect amount of product, buffing product in, and sweep away excess. A pink, frosty-metal handle gives you a firm grip for vigorous blending and buffing. Lightweight and easy to use and clean, this compact brush slots perfectly in your handbag for on-the-go situations.</span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Makeup,"Asper Beauty, Makeup",TRUE,Title,Default Title,,,079625017045,100,shopify,100,deny,manual,450.00,650.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/products/REALTECHNIQUESMINIMULTITASK.jpg?v=1681549062,1,Real Techniques Mini Multitask,Real Techniques Mini Multitask,"Real Techniques Mini Multitask a fluffy, travel-size brush that serves your every makeup need, while you’re out and about. Fitted with Ultra Plush synthetic bristles. Multitask it’s perfect for applying and blending powder blushers, bronzers, setting powders, finishing powders, highlighters and contouring products, lea",active
lacoste-l1212-jaune-by-edt-spray-yellow-16-oz,Lacoste L.12.12 Jaune By Edt Spray (Yellow) 1.6 Oz,"<p><p><strong>Lacoste L.12.12 Jaune By Edt Spray (Yellow) 1.6 Oz</strong> <span data-mce-fragment=""1"">is a scent that triggers optimism, joy and positive energy. Fresh and citrusy, aromatic fruity, it represents sunshine rays in a bottle. Opening with accords of grapefruit, it develops into the heart of Golden Delicious apples. The base is aromatic, woody, made of cypress accords.</span></p></p>",Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Title,Default Title,,,737052896267,100,shopify,100,deny,manual,49.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/LACOSTEL.12.12JAUNEBYEDTSPRAY_YELLOW_1.6OZ.jpg?v=1686069790,1,Lacoste L.12.12 Jaune By Edt Spray (Yellow) 1.6 Oz,Lacoste L.12.12 Jaune By Edt Spray (Yellow) 1.6 Oz,"Lacoste L.12.12 Jaune By Edt Spray (Yellow) 1.6 Oz is a scent that triggers optimism, joy and positive energy. Fresh and citrusy, aromatic fruity, it represents sunshine rays in a bottle. Opening with accords of grapefruit, it develops into the heart of Golden Delicious apples. The base is aromatic, woody, made of cypr",active
mercedes-benz-silver-edt-for-men,Mercedes-benz Silver Edt For Men,<p><p><strong>Mercedes-benz Silver Edt For Men</strong></p></p>,Asper Beauty,Health & Beauty > Personal Care > Cosmetics,Fragrance,"Asper Beauty, Fragrance",TRUE,Size,120ML,,,3595471021816,100,shopify,100,deny,manual,55.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0306/5004/0458/files/MERCEDES-BENZSILVEREDTFORMEN.jpg?v=1686675223,1,Mercedes-benz Silver Edt For Men,Mercedes-benz Silver Edt For Men,Mercedes-benz Silver Edt For Men,active
